ITERATION 0 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 1e-05
LOSS 11.475847244262695 	 ACC 0.25 
LOSS 9.236860275268555 	 ACC 0.75 
LOSS 4.850231647491455 	 ACC 0.0 
LOSS 14.01562786102295 	 ACC 0.25 
LOSS 5.224580764770508 	 ACC 0.25 
LOSS 9.041327476501465 	 ACC 0.39999999999999997 
LOSS 12.583623886108398 	 ACC 0.25 
LOSS 11.176183700561523 	 ACC 0.5 
LOSS 8.262099266052246 	 ACC 0.5 
LOSS 7.914178848266602 	 ACC 0.0 
LOSS 7.985525131225586 	 ACC 0.4 
LOSS 8.314805030822754 	 ACC 0.25 
LOSS 7.361092567443848 	 ACC 0.15 
LOSS 15.389466285705566 	 ACC 0.25 
LOSS 13.246073722839355 	 ACC 0.25 
LOSS 10.413862228393555 	 ACC 0.4 
LOSS 8.720663070678711 	 ACC 0.0 
LOSS 8.870417594909668 	 ACC 0.0 
LOSS 7.87104606628418 	 ACC 0.0 
LOSS 7.722046852111816 	 ACC 0.0 
LOSS 8.101949691772461 	 ACC 0.15 
LOSS 6.3399882316589355 	 ACC 0.25 
LOSS 10.976361274719238 	 ACC 0.15 
LOSS 9.659915924072266 	 ACC 0.0 
LOSS 4.733928203582764 	 ACC 0.15 
LOSS 8.6997652053833 	 ACC 0.25 
LOSS 11.088335037231445 	 ACC 0.25 
LOSS 9.83102798461914 	 ACC 0.0 
LOSS 9.55489444732666 	 ACC 0.25 
LOSS 5.030892848968506 	 ACC 0.65 
LOSS 8.004776954650879 	 ACC 0.5 
LOSS 9.540762901306152 	 ACC 0.25 
LOSS 10.694884300231934 	 ACC 0.25 
LOSS 8.485844612121582 	 ACC 0.39999999999999997 
LOSS 9.940468788146973 	 ACC 0.44999999999999996 
LOSS 8.484713554382324 	 ACC 0.0 
LOSS 9.474008560180664 	 ACC 0.5 
LOSS 8.878714561462402 	 ACC 0.9 
LOSS 7.515264987945557 	 ACC 0.39999999999999997 
LOSS 11.008822441101074 	 ACC 0.4 
LOSS 5.326828479766846 	 ACC 0.25 
LOSS 10.596077919006348 	 ACC 0.0 
LOSS 10.162683486938477 	 ACC 0.25 
LOSS 10.260221481323242 	 ACC 0.15000000000000002 
LOSS 8.878976821899414 	 ACC 0.5 
LOSS 10.64007568359375 	 ACC 0.25 
LOSS 8.77441692352295 	 ACC 0.0 
LOSS 6.921249866485596 	 ACC 0.5 
LOSS 8.472652435302734 	 ACC 0.25 
LOSS 9.85119915008545 	 ACC 0.0 
LOSS 10.694575309753418 	 ACC 0.0 
LOSS 8.284416198730469 	 ACC 0.25 
LOSS 9.14849853515625 	 ACC 0.25 
LOSS 9.063547134399414 	 ACC 0.25 
LOSS 4.495715618133545 	 ACC 0.25 
LOSS 11.459704399108887 	 ACC 0.14999999999999997 
LOSS 9.608980178833008 	 ACC 0.0 
LOSS 5.202980041503906 	 ACC 0.5 
LOSS 8.696123123168945 	 ACC 0.14999999999999997 
LOSS 6.809970378875732 	 ACC 0.14999999999999997 
LOSS 11.970571517944336 	 ACC 0.0 
LOSS 8.625364303588867 	 ACC 0.5 
LOSS 8.410210609436035 	 ACC 0.25 
LOSS 8.1364107131958 	 ACC 0.15000000000000002 
LOSS 7.937105655670166 	 ACC 0.25 
LOSS 8.403948783874512 	 ACC 0.25 
LOSS 9.29880428314209 	 ACC 0.0 
LOSS 5.250302314758301 	 ACC 0.0 
LOSS 11.878868103027344 	 ACC 0.25 
LOSS 12.556652069091797 	 ACC 0.4 
LOSS 5.966827869415283 	 ACC 0.5 
LOSS 6.206148624420166 	 ACC 0.25 
LOSS 8.240434646606445 	 ACC 0.25 
LOSS 10.339274406433105 	 ACC 0.15000000000000002 
LOSS 9.828298568725586 	 ACC 0.25 
LOSS 8.207839012145996 	 ACC 0.25 
LOSS 10.502823829650879 	 ACC 0.4 
LOSS 8.078024864196777 	 ACC 0.25 
LOSS 9.133102416992188 	 ACC 0.5 
LOSS 7.313408851623535 	 ACC 0.5 
LOSS 9.93905258178711 	 ACC 0.25 
LOSS 9.86210823059082 	 ACC 0.25 
LOSS 10.54743766784668 	 ACC 0.0 
LOSS 14.357075691223145 	 ACC 0.0 
LOSS 9.053544998168945 	 ACC 0.0 
LOSS 8.904775619506836 	 ACC 0.25 
LOSS 4.965743541717529 	 ACC 0.0 
LOSS 10.800838470458984 	 ACC 0.25 
LOSS 7.0519585609436035 	 ACC 0.5 
LOSS 5.117179870605469 	 ACC 0.15000000000000002 
LOSS 10.020492553710938 	 ACC 0.0 
LOSS 6.941098690032959 	 ACC 0.0 
LOSS 8.533407211303711 	 ACC 0.25 
LOSS 8.884565353393555 	 ACC 0.0 
LOSS 8.996217727661133 	 ACC 0.25 
LOSS 7.458292007446289 	 ACC 0.25 
LOSS 7.234241962432861 	 ACC 0.25 
LOSS 3.409160852432251 	 ACC 0.6499999999999999 
LOSS 11.736762046813965 	 ACC 0.0 
LOSS 8.222930908203125 	 ACC 0.14999999999999997 
LOSS 8.60584831237793 	 ACC 0.0 
LOSS 6.382503986358643 	 ACC 0.25 
LOSS 8.778507232666016 	 ACC 0.25 
LOSS 8.177196502685547 	 ACC 0.14999999999999997 
LOSS 6.828334808349609 	 ACC 0.14999999999999997 
LOSS 7.831216812133789 	 ACC 0.15 
LOSS 8.181498527526855 	 ACC 0.25 
LOSS 10.900433540344238 	 ACC 0.25 
LOSS 9.213778495788574 	 ACC 0.25 
LOSS 4.944075584411621 	 ACC 0.0 
LOSS 12.9515380859375 	 ACC 0.15 
