ITERATION 1 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.5 
-> temperature:  1.0 
-> top_k:  50 
-> top_p:  0.7 
-> max_length:  20 
 

WEIGHT DECAY: 0.0001
LOSS 9.203973770141602 	 ACC 0.0 
LOSS 7.836357593536377 	 ACC 0.0 
LOSS 6.848323822021484 	 ACC 0.5 
LOSS 8.08150863647461 	 ACC 0.0 
LOSS 10.301898956298828 	 ACC 0.0 
LOSS 9.861255645751953 	 ACC 0.25 
LOSS 9.477579116821289 	 ACC 0.25 
LOSS 7.438848972320557 	 ACC 0.5 
LOSS 11.40923023223877 	 ACC 0.25 
LOSS 6.657813549041748 	 ACC 0.65 
LOSS 6.6015305519104 	 ACC 0.25 
LOSS 8.57451343536377 	 ACC 0.25 
LOSS 12.04472541809082 	 ACC 0.25 
LOSS 10.535867691040039 	 ACC 0.25 
LOSS 12.111077308654785 	 ACC 0.25 
LOSS 10.040817260742188 	 ACC 0.25 
LOSS 6.405467987060547 	 ACC 0.5 
LOSS 13.481803894042969 	 ACC 0.25 
LOSS 6.707003116607666 	 ACC 0.0 
LOSS 7.472319602966309 	 ACC 0.5 
LOSS 9.875777244567871 	 ACC 0.25 
LOSS 5.817768573760986 	 ACC 0.25 
LOSS 6.706042766571045 	 ACC 0.6499999999999999 
LOSS 9.616670608520508 	 ACC 0.25 
LOSS 6.4635467529296875 	 ACC 0.5 
LOSS 7.128879547119141 	 ACC 0.0 
LOSS 7.680422782897949 	 ACC 0.25 
LOSS 7.3173322677612305 	 ACC 0.15 
LOSS 6.7772064208984375 	 ACC 0.14999999999999997 
LOSS 11.149862289428711 	 ACC 0.25 
LOSS 8.139656066894531 	 ACC 0.0 
LOSS 7.575254917144775 	 ACC 0.25 
LOSS 9.023710250854492 	 ACC 0.65 
LOSS 8.391535758972168 	 ACC 0.29999999999999993 
LOSS 11.6830415725708 	 ACC 0.25 
LOSS 9.343293190002441 	 ACC 0.5 
LOSS 10.368961334228516 	 ACC 0.30000000000000004 
LOSS 8.594849586486816 	 ACC 0.4 
LOSS 6.773500442504883 	 ACC 0.5 
LOSS 8.843027114868164 	 ACC 0.25 
LOSS 9.351240158081055 	 ACC 0.5 
LOSS 7.63441801071167 	 ACC 0.29999999999999993 
LOSS 8.249308586120605 	 ACC 0.65 
LOSS 10.030360221862793 	 ACC 0.0 
LOSS 7.94642448425293 	 ACC 0.5 
LOSS 8.385336875915527 	 ACC 0.4 
LOSS 5.745708465576172 	 ACC 0.25 
LOSS 11.260153770446777 	 ACC 0.0 
LOSS 3.3994715213775635 	 ACC 0.25 
LOSS 7.247625350952148 	 ACC 0.25 
LOSS 11.22868824005127 	 ACC 0.25 
LOSS 6.646579742431641 	 ACC 0.25 
LOSS 10.636427879333496 	 ACC 0.25 
LOSS 9.73857307434082 	 ACC 0.0 
LOSS 8.184799194335938 	 ACC 0.25 
LOSS 9.43295669555664 	 ACC 0.25 
LOSS 10.353120803833008 	 ACC 0.25 
LOSS 6.2562642097473145 	 ACC 0.0 
LOSS 9.766511917114258 	 ACC 0.39999999999999997 
LOSS 10.953283309936523 	 ACC 0.5 
LOSS 8.610271453857422 	 ACC 0.0 
LOSS 11.589818954467773 	 ACC 0.25 
LOSS 12.500406265258789 	 ACC 0.0 
LOSS 8.188865661621094 	 ACC 0.0 
LOSS 4.5975213050842285 	 ACC 0.15 
LOSS 5.1754631996154785 	 ACC 0.5 
LOSS 8.620469093322754 	 ACC 0.14999999999999997 
LOSS 9.110143661499023 	 ACC 0.25 
LOSS 9.474448204040527 	 ACC 0.0 
LOSS 4.4520344734191895 	 ACC 0.0 
LOSS 8.572356224060059 	 ACC 0.0 
LOSS 5.890573501586914 	 ACC 0.5 
LOSS 8.625452041625977 	 ACC 0.25 
LOSS 6.350905418395996 	 ACC 0.25 
LOSS 8.833536148071289 	 ACC 0.4 
LOSS 10.444101333618164 	 ACC 0.25 
LOSS 9.685518264770508 	 ACC 0.4 
LOSS 10.559979438781738 	 ACC 0.5 
LOSS 8.91710090637207 	 ACC 0.0 
LOSS 8.936342239379883 	 ACC 0.75 
LOSS 7.960921287536621 	 ACC 0.39999999999999997 
LOSS 11.909080505371094 	 ACC 0.0 
LOSS 8.586725234985352 	 ACC 0.25 
LOSS 4.37596321105957 	 ACC 0.25 
LOSS 7.901977062225342 	 ACC 0.15000000000000002 
LOSS 9.750348091125488 	 ACC 0.25 
LOSS 9.509714126586914 	 ACC 0.25 
LOSS 3.09299635887146 	 ACC 0.6499999999999999 
LOSS 11.347634315490723 	 ACC 0.5 
LOSS 7.163066864013672 	 ACC 0.39999999999999997 
LOSS 4.423038482666016 	 ACC 0.5 
LOSS 5.9531941413879395 	 ACC 0.25 
LOSS 9.782959938049316 	 ACC 0.0 
LOSS 7.554608345031738 	 ACC 0.0 
LOSS 8.973718643188477 	 ACC 0.25 
LOSS 11.151016235351562 	 ACC 0.5 
LOSS 9.64320182800293 	 ACC 0.25 
LOSS 7.963059902191162 	 ACC 0.0 
LOSS 8.61003589630127 	 ACC 0.25 
LOSS 8.378698348999023 	 ACC 0.25 
LOSS 1.9542802572250366 	 ACC 0.15 
LOSS 9.977418899536133 	 ACC 0.25 
LOSS 11.87870979309082 	 ACC 0.0 
LOSS 8.673807144165039 	 ACC 0.5 
LOSS 8.874284744262695 	 ACC 0.25 
LOSS 8.478765487670898 	 ACC 0.14999999999999997 
LOSS 7.773386001586914 	 ACC 0.5 
LOSS 8.859893798828125 	 ACC 0.0 
LOSS 4.588624477386475 	 ACC 0.25 
LOSS 9.798129081726074 	 ACC 0.25 
LOSS 5.877455234527588 	 ACC 0.0 
LOSS 11.588350296020508 	 ACC 0.0 
LOSS 7.749279022216797 	 ACC 0.0 
LOSS 7.531506538391113 	 ACC 0.0 
LOSS 9.12165641784668 	 ACC 0.75 
LOSS 7.701223373413086 	 ACC 0.25 
LOSS 2.2015151977539062 	 ACC 0.25 
LOSS 7.2921223640441895 	 ACC 0.3 
LOSS 5.734965801239014 	 ACC 0.0 
LOSS 8.376575469970703 	 ACC 0.0 
LOSS 8.922176361083984 	 ACC 0.25 
LOSS 6.626912593841553 	 ACC 0.5 
LOSS 8.746374130249023 	 ACC 0.5 
LOSS 9.782191276550293 	 ACC 0.25 
LOSS 8.43514633178711 	 ACC 0.25 
LOSS 7.10821533203125 	 ACC 0.15000000000000002 
LOSS 11.555758476257324 	 ACC 0.25 
LOSS 3.9308671951293945 	 ACC 0.4 
LOSS 6.744186878204346 	 ACC 0.5 
LOSS 5.837093830108643 	 ACC 0.0 
LOSS 8.00788402557373 	 ACC 0.6499999999999999 
LOSS 5.724328994750977 	 ACC 0.5 
LOSS 7.643253803253174 	 ACC 0.0 
LOSS 9.040316581726074 	 ACC 0.0 
LOSS 8.263031959533691 	 ACC 0.15 
LOSS 6.962807655334473 	 ACC 0.39999999999999997 
LOSS 8.480867385864258 	 ACC 0.0 
LOSS 8.169598579406738 	 ACC 0.0 
LOSS 9.021295547485352 	 ACC 0.6499999999999999 
LOSS 11.004097938537598 	 ACC 0.0 
LOSS 1.6358991861343384 	 ACC 0.0 
LOSS 5.584916114807129 	 ACC 0.25 
LOSS 5.151454448699951 	 ACC 0.25 
LOSS 9.612868309020996 	 ACC 0.5 
LOSS 9.79244327545166 	 ACC 0.5 
LOSS 10.049307823181152 	 ACC 0.5 
LOSS 6.0221405029296875 	 ACC 0.6499999999999999 
LOSS 6.509092807769775 	 ACC 0.25 
LOSS 4.411746501922607 	 ACC 0.15 
LOSS 8.063955307006836 	 ACC 0.25 
LOSS 6.887596130371094 	 ACC 0.0 
LOSS 9.175435066223145 	 ACC 0.25 
