ITERATION 4 

PARAMS:
-> num_beams:  5 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  2.0 
-> temperature:  1.5 
-> top_k:  20 
-> top_p:  0.95 
-> max_length:  100 
 
LOSS 10.136247634887695 	 ACC 0.25 
LOSS 11.086125373840332 	 ACC 0.25 
LOSS 5.878930568695068 	 ACC 0.0 
LOSS 9.505453109741211 	 ACC 0.0 
LOSS 12.40480899810791 	 ACC 0.25 
LOSS 4.909579753875732 	 ACC 0.15 
LOSS 7.187318325042725 	 ACC 0.25 
LOSS 10.451130867004395 	 ACC 0.65 
LOSS 11.684090614318848 	 ACC 0.25 
LOSS 9.753177642822266 	 ACC 0.0 
LOSS 9.952437400817871 	 ACC 0.39999999999999997 
LOSS 4.629754543304443 	 ACC 0.0 
LOSS 10.136283874511719 	 ACC 0.0 
LOSS 12.497926712036133 	 ACC 0.0 
LOSS 8.773293495178223 	 ACC 0.25 
LOSS 8.856114387512207 	 ACC 0.0 
LOSS 6.306755065917969 	 ACC 0.25 
LOSS 11.815008163452148 	 ACC 0.0 
LOSS 11.174595832824707 	 ACC 0.25 
LOSS 3.97963809967041 	 ACC 0.25 
LOSS 7.776543617248535 	 ACC 0.25 
LOSS 6.224205017089844 	 ACC 0.25 
LOSS 10.080928802490234 	 ACC 0.0 
LOSS 6.4237213134765625 	 ACC 0.0 
LOSS 5.16601037979126 	 ACC 0.0 
LOSS 8.752372741699219 	 ACC 0.25 
LOSS 15.118182182312012 	 ACC 0.0 
LOSS 14.01076889038086 	 ACC 0.25 
LOSS 5.539484024047852 	 ACC 0.15 
LOSS 15.772953033447266 	 ACC 0.0 
LOSS 12.875988960266113 	 ACC 0.5 
LOSS 12.729721069335938 	 ACC 0.0 
LOSS 6.046668529510498 	 ACC 0.25 
LOSS 7.323211669921875 	 ACC 0.5 
LOSS 11.305505752563477 	 ACC 0.5 
LOSS 6.401021480560303 	 ACC 0.25 
LOSS 8.03226375579834 	 ACC 0.0 
LOSS 7.214575290679932 	 ACC 0.0 
LOSS 9.973164558410645 	 ACC 0.5 
LOSS 8.574493408203125 	 ACC 0.39999999999999997 
LOSS 10.101018905639648 	 ACC 0.5 
LOSS 8.37026309967041 	 ACC 0.25 
LOSS 8.434673309326172 	 ACC 0.5 
LOSS 8.173445701599121 	 ACC 0.5 
LOSS 5.942504405975342 	 ACC 0.0 
LOSS 5.487562656402588 	 ACC 0.25 
LOSS 8.186238288879395 	 ACC 0.15 
LOSS 9.329360008239746 	 ACC 0.25 
LOSS 10.522246360778809 	 ACC 0.4 
LOSS 5.9914374351501465 	 ACC 0.4 
LOSS 7.349600315093994 	 ACC 0.25 
LOSS 8.36279582977295 	 ACC 0.4 
LOSS 7.715414524078369 	 ACC 0.5 
LOSS 10.001100540161133 	 ACC 0.0 
LOSS 12.839858055114746 	 ACC 0.25 
LOSS 12.149370193481445 	 ACC 0.0 
LOSS 5.93877649307251 	 ACC 0.5 
LOSS 6.358597278594971 	 ACC 0.39999999999999997 
LOSS 12.324972152709961 	 ACC 0.5 
LOSS 9.194889068603516 	 ACC 0.0 
LOSS 6.595951080322266 	 ACC 0.25 
LOSS 12.155125617980957 	 ACC 0.25 
LOSS 11.910456657409668 	 ACC 0.0 
LOSS 9.952849388122559 	 ACC 0.6499999999999999 
LOSS 8.075218200683594 	 ACC 0.25 
LOSS 10.919816970825195 	 ACC 0.15 
LOSS 10.604146957397461 	 ACC 0.5 
LOSS 9.855790138244629 	 ACC 0.0 
LOSS 7.470433712005615 	 ACC 0.25 
LOSS 10.475181579589844 	 ACC 0.14999999999999997 
LOSS 9.670639991760254 	 ACC 0.0 
LOSS 9.53445053100586 	 ACC 0.0 
LOSS 8.24909496307373 	 ACC 0.15 
LOSS 4.734887599945068 	 ACC 0.0 
LOSS 6.111217021942139 	 ACC 0.4 
LOSS 4.122653484344482 	 ACC 0.0 
LOSS 9.664669036865234 	 ACC 0.25 
LOSS 9.694585800170898 	 ACC 0.0 
LOSS 7.606928825378418 	 ACC 0.0 
LOSS 10.633563041687012 	 ACC 0.25 
LOSS 6.121632099151611 	 ACC 0.39999999999999997 
LOSS 13.348189353942871 	 ACC 0.39999999999999997 
LOSS 9.396740913391113 	 ACC 0.0 
LOSS 11.644746780395508 	 ACC 0.0 
LOSS 7.940218448638916 	 ACC 0.0 
LOSS 10.20925235748291 	 ACC 0.25 
LOSS 7.136761665344238 	 ACC 0.5 
LOSS 10.265532493591309 	 ACC 0.39999999999999997 
LOSS 9.415322303771973 	 ACC 0.25 
LOSS 8.767200469970703 	 ACC 0.5 
LOSS 11.397481918334961 	 ACC 0.25 
LOSS 5.3338942527771 	 ACC 0.4 
LOSS 8.695992469787598 	 ACC 0.30000000000000004 
LOSS 12.457359313964844 	 ACC 0.25 
LOSS 8.101435661315918 	 ACC 0.25 
LOSS 10.090703964233398 	 ACC 0.39999999999999997 
LOSS 2.659944772720337 	 ACC 0.0 
LOSS 8.326780319213867 	 ACC 0.0 
LOSS 8.768546104431152 	 ACC 0.5 
LOSS 11.03608226776123 	 ACC 0.0 
LOSS 11.511029243469238 	 ACC 0.25 
LOSS 12.195405960083008 	 ACC 0.4 
LOSS 15.719343185424805 	 ACC 0.0 
LOSS 10.304452896118164 	 ACC 0.25 
LOSS 4.749349594116211 	 ACC 0.25 
LOSS 5.348629474639893 	 ACC 0.15 
LOSS 7.489132404327393 	 ACC 0.0 
LOSS 8.031805992126465 	 ACC 0.14999999999999997 
LOSS 12.328875541687012 	 ACC 0.25 
LOSS 7.592857360839844 	 ACC 0.39999999999999997 
LOSS 8.048054695129395 	 ACC 0.0 
LOSS 9.5835599899292 	 ACC 0.25 
LOSS 7.050350666046143 	 ACC 0.25 
LOSS 4.064670085906982 	 ACC 0.75 
LOSS 6.383124828338623 	 ACC 0.0 
LOSS 4.976217746734619 	 ACC 0.5 
LOSS 4.706160545349121 	 ACC 0.9 
LOSS 8.694839477539062 	 ACC 0.5 
LOSS 7.970436096191406 	 ACC 0.0 
LOSS 14.549283027648926 	 ACC 0.14999999999999997 
LOSS 7.234317779541016 	 ACC 0.25 
LOSS 13.212942123413086 	 ACC 0.25 
LOSS 8.768566131591797 	 ACC 0.0 
LOSS 9.788676261901855 	 ACC 0.0 
LOSS 11.73823356628418 	 ACC 0.14999999999999997 
LOSS 9.81486988067627 	 ACC 0.75 
LOSS 5.791345119476318 	 ACC 0.25 
LOSS 9.173226356506348 	 ACC 0.39999999999999997 
LOSS 8.707681655883789 	 ACC 0.0 
LOSS 9.314886093139648 	 ACC 0.25 
LOSS 12.0490140914917 	 ACC 0.25 
